id,Name,titleProject_id,class,score,login,password
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА,HRzJVmz5
325,Боготынина София Егоровна,63,11б,5,Боготынина_СЕ,r6fGNNR2
326,Саюшкин Игорь Алексиевич,211,11х,5,Саюшкин_ИА,gPJ1ijHL
327,Потешных Тамара Николаевна,468,11в,3,Потешных_ТН,7y2g3ebR
328,Незлина Жанна Василевна,426,8б,5,Незлина_ЖВ,GPPbC5Wa
329,Федичева Вероника Кирилловна,37,7х,4,Федичева_ВК,qS7NOUMr
330,Пустынкин Вадим Антонович,388,10в,5,Пустынкин_ВА,PabwdD1V
331,Аринакова Ирина Михайловна,150,8в,5,Аринакова_ИМ,dqxHGYkq
332,Обиралкова Мария Егоровна,294,11т,5,Обиралкова_МЕ,yk085K9Q
333,Аристарова Валентина Максимовна,443,11г,2,Аристарова_ВМ,qk8btDrC
334,Яуров Герасим Юрьевич,38,9а,5,Яуров_ГЮ,e1vQUK89
335,Духонькин Вячеслав Фёдорович,2,9в,4,Духонькин_ВФ,TTm4hL8I
336,Гвасков Евгений Михаилович,402,9в,5,Гвасков_ЕМ,hptYtOlY
337,Жабынина Галина Николаевна,185,7х,5,Жабынина_ГН,nnDmpc5z
338,Шерюкова Виолетта Романовна,440,9б,4,Шерюкова_ВР,gohPboHP
339,Колокатов Пётр Евгеньевич,484,10в,3,Колокатов_ПЕ,QPtwL7GV
340,Шайдуков Андрей Михаилович,317,9и,4,Шайдуков_АМ,PyL10ZID
341,Смирнягина Дарья Игоревна,425,10в,4,Смирнягина_ДИ,O0F7QKnb
342,Штырева Ева Олеговна,258,11и,2,Штырева_ЕО,p5F3XhG4
343,Ашукин Вячеслав Михаилович,191,10т,4,Ашукин_ВМ,Tm71n2AN
344,Рубченкова Галина Алексеевна,190,9в,3,Рубченкова_ГА,5smnCPFN
345,Зархин Иван Алексиевич,478,11и,5,Зархин_ИА,xte0eYyh
346,Адиотов Дмитрий Павлович,156,7б,3,Адиотов_ДП,gg9zjxaU
347,Тищенкова Раиса Валерьевна,79,7д,3,Тищенкова_РВ,lY75y5dV
348,Лозеев Илья Петрович,205,10д,2,Лозеев_ИП,lfBYW200
349,Кобяшов Герасим Михаилович,305,11т,2,Кобяшов_ГМ,0AwrtR3T
350,Ронова Клавдия Валерьевна,107,7и,4,Ронова_КВ,WqhS0Y9x
351,Стрижнов Алексей Евгеньевич,385,11г,3,Стрижнов_АЕ,Eg1RoxnL
352,Волынский Алексей Виталиевич,362,11т,5,Волынский_АВ,d0Tzaswv
353,Машонский Василий Данилович,23,9д,5,Машонский_ВД,wXmff6FG
354,Буриева Зинаида Аркадьевна,104,11д,4,Буриева_ЗА,u6Y25p43
355,Борщина Алёна Ивановна,377,11а,5,Борщина_АИ,49pFKopa
356,Белчков Олег Иванович,275,10а,4,Белчков_ОИ,Hog4l7PU
357,Остропиков Альберт Данилович,157,8г,2,Остропиков_АД,R40FYFk2
358,Оргонова Любовь Максимовна,264,7б,4,Оргонова_ЛМ,pGZ9dlEn
359,Мальков Юрий Евгеньевич,228,7г,3,Мальков_ЮЕ,ac2bfYSY
360,Свльхова Наталья Вадимовна,160,9т,5,Свльхова_НВ,Bq1W6BSE
361,Мякушков Герасим Леонидович,102,10т,3,Мякушков_ГЛ,czghfknR
362,Межуев Георгий Юриевич,355,8г,4,Межуев_ГЮ,dg7m7vTO
363,Чериншев Александр Сергеевич,439,8а,2,Чериншев_АС,fxxseTZH
364,Муниров Алексей Андреевич,117,11г,3,Муниров_АА,H1EmpgPx
365,Климухин Руслан Романович,269,10в,3,Климухин_РР,c3msHMHa
366,Дембская Екатерина Никитична,64,11б,4,Дембская_ЕН,7LNRFBvW
367,Тюнеев Яков Фёдорович,417,10т,2,Тюнеев_ЯФ,j9EEOUkB
368,Трушитин Антон Данилович,168,9х,3,Трушитин_АД,ZjoYCU3r
369,Балакишиев Роман Алексиевич,143,11х,5,Балакишиев_РА,XOuNREhe
370,Немтюрева Валерия Аркадьевна,12,10г,4,Немтюрева_ВА,KfUlwVQi
371,Складанова Клавдия Аркадьевна,257,9а,3,Складанова_КА,9rvElhBC
372,Заходина Полина Леонидовна,93,10д,4,Заходина_ПЛ,BTK0tSr5
373,Муринов Анатолий Борисович,171,11б,5,Муринов_АБ,skRO3zZh
374,Гришалова Любовь Евгеньевна,301,8т,3,Гришалова_ЛЕ,A7DlNl1O
375,Ситчихин Станислав Георгиевич,247,8т,5,Ситчихин_СГ,ffhgerS5
376,Просяных Георгий Василиевич,366,9в,2,Просяных_ГВ,QhyMW5mc
377,Дзабиев Григорий Георгиевич,259,11д,5,Дзабиев_ГГ,aFBnmaHu
378,Рыбаулин Григорий Алексеевич,140,11а,5,Рыбаулин_ГА,HoIJqOq1
379,Тупиева Екатерина Ивановна,400,7д,2,Тупиева_ЕИ,7nkZlXPT
380,Куверчева Алена Ивановна,170,10д,3,Куверчева_АИ,cOEw4yWP
381,Цаблинова Виктория Богдановна,342,9г,4,Цаблинова_ВБ,4P23oDJJ
382,Синенков Григорий Леонидович,230,9в,5,Синенков_ГЛ,DeKqO3Mf
383,Лизункин Артур Олегович,4,11в,5,Лизункин_АО,U7GV9psf
384,Славущева Александра Эдуардовна,81,8а,5,Славущева_АЭ,BRlLE0MI
385,Шахвердов Дмитрий Антонович,132,11б,2,Шахвердов_ДА,WldlOAFZ
386,Рапацкая Ольга Ивановна,223,10г,3,Рапацкая_ОИ,XOki3ZSg
387,Сторокожев Виталий Аркадиевич,159,9б,2,Сторокожев_ВА,seromr7P
388,Половодов Кирилл Николаевич,18,8т,5,Половодов_КН,reCEwd36
389,Халтанова Алена Дмитриевна,49,8б,3,Халтанова_АД,ImvzNg9v
390,Заложнев Роман Фёдорович,448,8в,4,Заложнев_РФ,UzJFR3rl
391,Рыжих Кристина Аркадьевна,213,7а,4,Рыжих_КА,Vlc7cwUk
392,Буров Руслан Игоревич,405,11и,5,Буров_РИ,8U5Yw5lh
393,Гачков Виталий Евгеньевич,277,9т,4,Гачков_ВЕ,E2GfUTRR
394,Кадилов Геннадий Борисович,225,10в,3,Кадилов_ГБ,nzsyyLeW
395,Гликина Алёна Эдуардовна,454,9б,3,Гликина_АЭ,1KlmLhOD
396,Ичкинина Любовь Андреевна,299,8г,5,Ичкинина_ЛА,wJIKx7BD
397,Мозшорина Кира Дмитриевна,65,8б,3,Мозшорина_КД,ndvwMQHZ
398,Брижеватов Константин Борисович,152,11т,2,Брижеватов_КБ,mEAoW2A4
399,Бучеров Тарас Викторович,429,10д,4,Бучеров_ТВ,l2vIjfNJ
400,Мисютина Валерия Эдуардовна,368,9г,2,Мисютина_ВЭ,xsGrIgey
401,Льянов Федор Вадимович,328,8а,4,Льянов_ФВ,V6bUgcFL
402,Щуркин Георгий Яковлевич,180,8в,4,Щуркин_ГЯ,3xk6rMuU
403,Акулин Федор Адамович,241,10г,4,Акулин_ФА,tINMXCFM
404,Волженкова Екатерина Ивановна,233,9д,4,Волженкова_ЕИ,VLHmAVDT
405,Махометова София Викторовна,424,8и,3,Махометова_СВ,GpMI3OLs
406,Зызлов Геннадий Антонович,274,7в,3,Зызлов_ГА,1w5lBKFf
407,Девляшова Кира Олеговна,51,11д,5,Девляшова_КО,4Z4ySRW6
408,Яковкина Алена Никитична,320,9т,5,Яковкина_АН,ELQAX7sk
409,Бузулев Вадим Николаевич,331,10д,3,Бузулев_ВН,bTNpX0J8
410,Ганельский Юрий Юриевич,474,9д,3,Ганельский_ЮЮ,2Lvm2KNR
411,Шкапрова Ева Ивановна,371,7б,5,Шкапрова_ЕИ,IUTYZglw
412,Чичирин Владимир Георгиевич,11,10а,4,Чичирин_ВГ,7q7lcvPI
413,Шилова Надежда Викторовна,124,9б,2,Шилова_НВ,tct3CcOn
414,Коваев Руслан Михаилович,487,9т,3,Коваев_РМ,37mDORat
415,Саверина Надежда Андреевна,407,11б,4,Саверина_НА,AsIBYhgf
416,Тишанкин Олег Адамович,334,9д,3,Тишанкин_ОА,exIuAvNc
417,Широпаев Валерий Сергеевич,406,9б,2,Широпаев_ВС,T6HcMm8h
418,Щепанин Олег Адамович,226,7а,3,Щепанин_ОА,VmzavnvS
419,Оплетин Владислав Аркадиевич,361,10х,4,Оплетин_ВА,P0IZRsiN
420,Оденова Карина Андреевна,409,8и,4,Оденова_КА,O95am1kY
421,Семагин Альберт Андреевич,456,10х,4,Семагин_АА,0Bs1OpMW
422,Черданцева Анастасия Олеговна,128,8х,3,Черданцева_АО,3MFhmzkH
423,Лонцова Елизавета Эдуардовна,224,7х,3,Лонцова_ЕЭ,rfa1EkKP
424,Сарсекеева Алёна Никитична,462,11и,4,Сарсекеева_АН,M3arivuS
425,Аковецкий Антон Евгеньевич,500,8б,4,Аковецкий_АЕ,R6aN0pGL
426,Аратский Станислав Борисович,351,9и,2,Аратский_СБ,xJxHcJOY
427,Чужриков Пётр Денисович,200,9в,3,Чужриков_ПД,443dYoah
428,Никитшин Алексей Кириллович,111,11и,3,Никитшин_АК,9SV5tdsU
429,Симендяев Василий Алексиевич,45,8д,4,Симендяев_ВА,tfBlYNUa
430,Ошитков Максим Сергеевич,151,10г,4,Ошитков_МС,n7gOQqfg
431,Юрасов Евгений Романович,338,9и,3,Юрасов_ЕР,OGAm6WYf
432,Головяшин Павел Юриевич,179,7г,5,Головяшин_ПЮ,w6TV2ZfL
433,Манжурина Екатерина Сергеевна,219,7т,3,Манжурина_ЕС,8RO8jfPQ
434,Никурашин Олег Евгеньевич,291,11х,2,Никурашин_ОЕ,q3XiWHql
435,Бехтерев Федор Вадимович,137,9х,3,Бехтерев_ФВ,3ZTmwqcA
436,Годлевская Катерина Дмитриевна,403,11г,3,Годлевская_КД,YgnNNMpo
437,Акиярова Алина Эдуардовна,9,11а,4,Акиярова_АЭ,f8MFxMxb
438,Милина Алена Петровна,359,8г,3,Милина_АП,wDBekWT5
439,Воловин Борис Викторович,350,7т,2,Воловин_БВ,BECGlUrb
440,Туморина Ксения Федоровна,133,8б,5,Туморина_КФ,VDp6G82N
441,Желейков Вячеслав Яковлевич,199,8г,3,Желейков_ВЯ,9TW0mkKZ
442,Шишорнина Екатерина Алексеевна,183,8т,3,Шишорнина_ЕА,ivTgZrGz
443,Юумогулова Виолетта Игоревна,311,10х,3,Юумогулова_ВИ,3XLUMgKK
444,Рецков Денис Денисович,85,10д,2,Рецков_ДД,qua76ukw
445,Химунина Елизавета Ивановна,392,7д,2,Химунина_ЕИ,748D24T1
446,Кобрянов Александр Алексиевич,455,7т,2,Кобрянов_АА,3pyrBTAt
447,Бирылов Тарас Данилович,243,11а,3,Бирылов_ТД,48gbA68X
448,Туфатулин Ярослав Леонидович,485,8х,4,Туфатулин_ЯЛ,A8JYzcrP
449,Долбишев Николай Аркадиевич,292,10б,5,Долбишев_НА,OtPTXjz2
450,Махтумова Алёна Эдуардовна,186,10б,4,Махтумова_АЭ,3nh5zUCu
451,Нарзаркин Алексей Романович,423,10т,2,Нарзаркин_АР,dnZ0ewTX
452,Куранина Алена Леонидовна,196,9б,4,Куранина_АЛ,cmexg05z
453,Ситюков Аркадий Евгеньевич,32,10в,3,Ситюков_АЕ,WtwwslIW
454,Мизюрова Алиса Никитична,176,7г,4,Мизюрова_АН,nRLl52cD
455,Пандурова Алиса Дмитриевна,130,9б,2,Пандурова_АД,o6MEZozo
456,Жилейкин Борис Тимофеевич,91,7в,2,Жилейкин_БТ,XzbpWHIU
457,Корпункова Виолетта Сергеевна,83,11а,3,Корпункова_ВС,lG4nKIua
458,Пашохонова Анастасия Федоровна,467,9в,4,Пашохонова_АФ,c0UpnyuH
459,Сузальцева Тамара Михайловна,357,8х,4,Сузальцева_ТМ,fR2Lvr1U
460,Чиличкина Светлана Яковлевна,5,8в,5,Чиличкина_СЯ,Sfca6mVF
461,Шантыкова Карина Максимовна,198,10д,3,Шантыкова_КМ,cIgllHpk
462,Недосекин Владислав Яковлевич,457,10а,4,Недосекин_ВЯ,eC7KiNaI
463,Максимкин Федор Фёдорович,172,10г,2,Максимкин_ФФ,CemLNFp6
464,Матбиюшина Виктория Игоревна,237,8д,2,Матбиюшина_ВИ,1w9ADYEC
465,Шишкунов Герасим Юрьевич,110,8т,4,Шишкунов_ГЮ,1MsxLLtL
466,Сухинин Георгий Алексиевич,475,10х,4,Сухинин_ГА,JAUp0bhl
467,Бисеева Полина Романовна,48,7д,5,Бисеева_ПР,6mXg9hT9
468,Жукулов Михаил Денисович,60,11г,3,Жукулов_МД,3dJeTWKS
469,Тоняев Герасим Петрович,378,9т,5,Тоняев_ГП,b7Cwo826
470,Шушенкова Алёна Олеговна,36,7и,2,Шушенкова_АО,FqfPvbMx
471,Разроев Дмитрий Павлович,59,9а,2,Разроев_ДП,8NCC8t0M
472,Баззаев Анатолий Данилович,339,9д,2,Баззаев_АД,VZ3OZi5J
473,Цекова Алла Олеговна,50,8д,2,Цекова_АО,jj3v8N1K
474,Аборонова Алиса Алексеевна,444,7г,5,Аборонова_АА,32HKYu4z
475,Ягловская Ева Олеговна,181,8в,4,Ягловская_ЕО,beNVcosR
476,Шароварова Яна Романовна,175,8а,4,Шароварова_ЯР,W68JWaaV
477,Общев Яков Викторович,466,8а,4,Общев_ЯВ,I0XTFORj
478,Ойзерская Катерина Эдуардовна,120,7х,2,Ойзерская_КЭ,1Ej15j9j
479,Прусский Ярослав Иванович,479,11б,2,Прусский_ЯИ,RXYaAZc0
480,Лабинов Павел Алексеевич,272,7б,5,Лабинов_ПА,lrUFKzLU
481,Покровов Эдуард Павлович,312,8б,2,Покровов_ЭП,v06XEaSf
482,Мачехин Эдуард Данилович,19,7д,3,Мачехин_ЭД,ftXFnERb
483,Кодорская Раиса Ивановна,27,11б,3,Кодорская_РИ,k5PtaKnR
484,Кондраева Марина Ивановна,469,9д,3,Кондраева_МИ,k0B55cEE
485,Бульенков Валентин Иванович,136,10т,4,Бульенков_ВИ,moFcIbUC
486,Тагакова Вероника Яковлевна,393,8т,4,Тагакова_ВЯ,Ec9EIrYG
487,Гершанова Любовь Евгеньевна,383,11т,5,Гершанова_ЛЕ,xsac1C17
488,Салина Алена Егоровна,73,11в,5,Салина_АЕ,FBxZCl7a
489,Фрумова Зинаида Аркадьевна,78,8а,4,Фрумова_ЗА,0o6iUFU2
490,Хорняков Борис Борисович,13,8г,2,Хорняков_ББ,ktbBdla1
491,Гдагазина Лиза Василевна,212,9т,5,Гдагазина_ЛВ,H6yu2x8C
492,Агаршев Ярослав Михаилович,276,9т,2,Агаршев_ЯМ,GgWxCK50
493,Корюшин Пётр Антонович,326,8х,2,Корюшин_ПА,MXB4iy2N
494,Калаев Пётр Алексиевич,68,8а,3,Калаев_ПА,v3zlGSWM
495,Ккаталкина Виолетта Егоровна,53,7б,2,Ккаталкина_ВЕ,4mPVqy3W
496,Рачнов Герасим Алексеевич,103,10а,5,Рачнов_ГА,shiOROeH
497,Миндубаева Людмила Леонидовна,477,11и,2,Миндубаева_ЛЛ,tCPXvgYn
498,Агафьева Вера Ивановна,352,11х,3,Агафьева_ВИ,qE1au3jj
499,Житин Эдуард Адамович,481,9а,5,Житин_ЭА,gu0Jzlgi
